건강관리 판매업체,건강관리 서비스,헬스케어 관리,제약,건강관리 시설,생물공학,건강관리 기술,생명과학 도구 및 서비스,건강관리 장비,건강관리 용품
녹십자홀딩스,녹십자홀딩스,녹십자홀딩스,녹십자홀딩스,보령,삼성제약,제일약품,제일약품,노을,아스타
명문제약,명문제약,제일파마홀딩스,명문제약,모비스,종근당홀딩스,CJ 바이오사이언스,CJ 바이오사이언스,대한과학,앱클론
삼성제약,제일파마홀딩스,한미사이언스,보령,씨유메디칼,강스템바이오텍,강스템바이오텍,강스템바이오텍,동구바이오제약,옵티팜
제일파마홀딩스,CJ 바이오사이언스,CJ 바이오사이언스,삼성제약,아이센스,동구바이오제약,노을,농우바이오,모비스,조아제약
한미사이언스,노을,모비스,제일약품,대원제약,루닛,대한과학,대한과학,미코바이오메드,나이벡
강스템바이오텍,대한과학,씨유메디칼,제일파마홀딩스,한올바이오파마,미코바이오메드,동구바이오제약,바이오에프디엔씨,바이오인프라,메타바이오메드
농우바이오,루닛,에이프로젠바이오로직스,종근당홀딩스,환인제약,바이넥스,루닛,바이오인프라,셀바스헬스케어,이노테라피
대한과학,에이디엠코리아,비트컴퓨터,한미사이언스,비트컴퓨터,아스타,미코바이오메드,에이디엠코리아,씨유메디칼,젠큐릭스
동구바이오제약,녹십자,솔고바이오,강스템바이오텍,솔고바이오,아이센스,바이오에프디엔씨,에이프릴바이오,아이센스,휴마시스
미코바이오메드,동아에스티,이지케어텍,동구바이오제약,안국약품,에이디엠코리아,아스타,옵티팜,티앤알바이오팹,바이오노트
셀바스헬스케어,이지케어텍,제이브이엠,바이넥스,이지케어텍,제일바이오,아이센스,제일바이오,프로테옴텍,더블유에스아이
아이센스,제놀루션,팜스빌,바이오에프디엔씨,제이브이엠,큐라티스,앱클론,큐라티스,피제이전자,세운메디칼
앱클론,젠큐릭스,DXVX,바이오인프라,국제약품,티앤알바이오팹,에이디엠코리아,티앤알바이오팹,대원제약,파마리서치
에이디엠코리아,DXVX,고려제약,앱클론,알피바이오,프롬바이오,에이프릴바이오,동아에스티,나노엔텍,이수앱지스
제일바이오,신테카바이오,케어랩스,에이디엠코리아,한국유니온제약,대원제약,제일바이오,한올바이오파마,루트로닉,제테마
조아제약,제넥신,동화약품,에이프릴바이오,메디톡스,동아에스티,큐라티스,고바이오랩,메타바이오메드,케이바이오
프롬바이오,케어랩스,비스토스,제일바이오,제노레이,일동홀딩스,티앤알바이오팹,나노엔텍,솔고바이오,피플바이오
피제이전자,디엔에이링크,씨엔알리서치,조아제약,제이시스메디칼,한올바이오파마,프로테옴텍,노바렉스,제놀루션,유한양행
녹십자,랩지노믹스,차바이오텍,티앤알바이오팹,케이바이오,CMG제약,일동홀딩스,메타바이오메드,제이브이엠,바이오니아
