건강관리 장비와 용품,건강관리 업체 및 서비스,건강관리 기술,생물공학,제약,생명과학 도구 및 서비스
오스테오닉,나노엔텍,오스테오닉,에이디엠코리아,부광약품,나노엔텍
나노엔텍,부광약품,나노엔텍,삼성제약,신신제약,부광약품
디알텍,신신제약,에이디엠코리아,셀트리온헬스케어,에이디엠코리아,에이디엠코리아
바이오다인,에이디엠코리아,아미코젠,아미코젠,삼성제약,클리노믹스
클리노믹스,삼성제약,바이오다인,바이오다인,셀트리온헬스케어,에이프로젠 H&G
에이프로젠 H&G,디알텍,클리노믹스,클리노믹스,아미코젠,메디톡스
진시스템,셀트리온헬스케어,진시스템,에이프로젠 H&G,에이프로젠 H&G,올릭스
유비케어,바이오다인,CMG제약,CMG제약,CMG제약,제넥신
비스토스,클리노믹스,올릭스,메디톡스,메디톡스,차바이오텍
경보제약,아미코젠,비스토스,셀트리온,대한약품,비올
셀바스헬스케어,에이프로젠 H&G,셀트리온,차바이오텍,경보제약,에이비엘바이오
이루다,진시스템,이루다,아이센스,셀트리온,옵티팜
비올,CMG제약,제넥신,큐라티스,제넥신,네오펙트
옵티팜,메디톡스,에이비엘바이오,씨엔알리서치,차바이오텍,큐라티스
네오펙트,대한약품,네오펙트,동아에스티,에이비엘바이오,콜마비앤에이치
아이센스,유비케어,한미약품,얼라인드,고려제약,카이노스메드
프리시젼바이오,비스토스,아이센스,JW생명과학,한미약품,제노레이
HLB생명과학,셀바스헬스케어,큐라티스,싸이토젠,알피바이오,동아에스티
플라즈맵,셀트리온,프리시젼바이오,비피도,대봉엘에스,얼라인드
루트로닉,이루다,플라즈맵,테라젠이텍스,에이프로젠바이오로직스,싸이토젠
제노레이,제넥신,대봉엘에스,차백신연구소,에스티팜,테라젠이텍스
동화약품,차바이오텍,카이노스메드,지노믹트리,광동제약,JW중외제약
얼라인드,비올,씨엔알리서치,고바이오랩,콜마비앤에이치,바이오인프라
휴메딕스,고려제약,얼라인드,케이바이오,카이노스메드,알리코제약
디알젬,이지케어텍,JW생명과학,대웅제약,일양약품,차백신연구소
조아제약,네오펙트,싸이토젠,테고사이언스,씨엔알리서치,HLB테라퓨틱스
바이오인프라,한미약품,휴메딕스,대원제약,동화약품,지노믹트리
뷰웍스,알피바이오,씨티씨바이오,박셀바이오,동아에스티,제놀루션
알리코제약,아이센스,뷰웍스,셀리드,JW생명과학,고바이오랩
클래시스,프리시젼바이오,코아스템켐온,파마리서치,휴메딕스,케이바이오
세운메디칼,플라즈맵,차백신연구소,에이프로젠,비피도,박셀바이오
지노믹트리,대봉엘에스,케이바이오,영진약품,테라젠이텍스,셀리드
제놀루션,에이프로젠바이오로직스,라이프시맨틱스,휴온스글로벌,JW중외제약,압타바이오
녹십자엠에스,루트로닉,셀리드,SK바이오사이언스,일성신약,CJ 바이오사이언스
케이바이오,제노레이,파마리서치,한올바이오파마,씨티씨바이오,신라젠
대웅제약,광동제약,압타바이오,큐라클,조아제약,SK바이오사이언스
라이프시맨틱스,콜마비앤에이치,CJ 바이오사이언스,에이비온,바이오인프라,한올바이오파마
대원제약,일양약품,신라젠,알테오젠,알리코제약,제일약품
파마리서치,씨엔알리서치,앱클론,강스템바이오텍,코아스템켐온,큐라클
앱클론,동화약품,국전약품,유바이오로직스,HLB테라퓨틱스,에이비온
피엔케이피부임상연구센타,동아에스티,피엔케이피부임상연구센타,지니너스,환인제약,알테오젠
바텍,얼라인드,제일약품,이노테라피,세운메디칼,노바렉스
레이,휴메딕스,큐라클,보로노이,아미노로직스,강스템바이오텍
이노테라피,비피도,알테오젠,아스타,보령,엔케이맥스
아스타,테라젠이텍스,레이,서린바이오,제놀루션,유바이오로직스
유한양행,JW중외제약,강스템바이오텍,압타머사이언스,고바이오랩,지니너스
제이브이엠,일성신약,지니너스,팜스빌,녹십자엠에스,보로노이
서린바이오,디알젬,이노테라피,헬릭스미스,대웅제약,서린바이오
진매트릭스,이글벳,보로노이,종근당홀딩스,테고사이언스,진매트릭스
엘앤케이바이오,씨티씨바이오,아스타,일동홀딩스,대원제약,엘앤케이바이오
이오플로우,조아제약,진매트릭스,신테카바이오,에이프로젠,압타머사이언스
더블유에스아이,뷰웍스,팜스빌,동구바이오제약,삼아제약,헬릭스미스
인터로조,알리코제약,헬릭스미스,루닛,파마리서치,지아이이노베이션
덴티스,코아스템켐온,이오플로우,HLB바이오스텝,영진약품,더블유에스아이
덴티움,클래시스,일동홀딩스,바이오톡스텍,신라젠,아시아종묘
노을,차백신연구소,지아이이노베이션,코오롱생명과학,휴온스글로벌,바이오에프디엔씨
동구바이오제약,환인제약,신테카바이오,휴젤,SK바이오사이언스,HLB바이오스텝
더메디팜,세운메디칼,하나제약,마이크로디지탈,앱클론,바이오톡스텍
대웅,지노믹트리,인터로조,팬젠,국전약품,중앙백신
신흥,아미노로직스,덴티스,시너지이노베이션,한올바이오파마,코오롱생명과학
HLB,보령,에스씨엠생명과학,지씨셀,녹십자홀딩스,녹십자웰빙
인바디,제놀루션,비보존 제약,제일바이오,피엔케이피부임상연구센타,JW신약
디오,녹십자엠에스,노을,바이넥스,제일약품,샤페론
씨젠,대웅제약,바이오에프디엔씨,우진비앤지,알테오젠,오스코텍
피플바이오,테고사이언스,동구바이오제약,쎌바이오텍,동국제약,에스바이오메딕스
