건강관리와 서비스,제약과 생물공학
오스테오닉,부광약품
나노엔텍,나노엔텍
부광약품,신신제약
신신제약,에이디엠코리아
디알텍,아미코젠
에이디엠코리아,셀트리온헬스케어
삼성제약,삼성제약
셀트리온헬스케어,바이오다인
바이오다인,클리노믹스
클리노믹스,에이프로젠 H&G
아미코젠,CMG제약
에이프로젠 H&G,메디톡스
진시스템,대한약품
CMG제약,올릭스
메디톡스,경보제약
대한약품,셀트리온
유비케어,제넥신
비스토스,차바이오텍
경보제약,비올
올릭스,에이비엘바이오
셀바스헬스케어,고려제약
셀트리온,옵티팜
이루다,네오펙트
제넥신,한미약품
차바이오텍,알피바이오
비올,아이센스
에이비엘바이오,큐라티스
고려제약,대봉엘에스
옵티팜,에이프로젠바이오로직스
네오펙트,에스티팜
이지케어텍,광동제약
한미약품,콜마비앤에이치
알피바이오,카이노스메드
아이센스,제노레이
큐라티스,일양약품
프리시젼바이오,씨엔알리서치
HLB생명과학,동화약품
플라즈맵,동아에스티
대봉엘에스,얼라인드
루트로닉,JW생명과학
에이프로젠바이오로직스,싸이토젠
제노레이,휴메딕스
광동제약,비피도
콜마비앤에이치,테라젠이텍스
카이노스메드,JW중외제약
일양약품,일성신약
씨엔알리서치,씨티씨바이오
동화약품,조아제약
동아에스티,바이오인프라
얼라인드,알리코제약
JW생명과학,코아스템켐온
싸이토젠,차백신연구소
휴메딕스,HLB테라퓨틱스
비피도,환인제약
테라젠이텍스,세운메디칼
JW중외제약,지노믹트리
디알젬,아미노로직스
일성신약,보령
이글벳,고바이오랩
씨티씨바이오,제놀루션
조아제약,녹십자엠에스
바이오인프라,대웅제약
뷰웍스,케이바이오
알리코제약,테고사이언스
코아스템켐온,대원제약
클래시스,박셀바이오
차백신연구소,셀리드
세운메디칼,파마리서치
환인제약,에이프로젠
지노믹트리,삼아제약
아미노로직스,영진약품
보령,압타바이오
제놀루션,신라젠
녹십자엠에스,CJ 바이오사이언스
대웅제약,휴온스글로벌
라이프시맨틱스,SK바이오사이언스
케이바이오,앱클론
테고사이언스,국전약품
대원제약,한올바이오파마
에이프로젠,녹십자홀딩스
삼아제약,피엔케이피부임상연구센타
파마리서치,제일약품
비트컴퓨터,큐라클
압타바이오,에이비온
영진약품,알테오젠
셀리드,동국제약
