다각화된 은행,지역 은행,증권,창업투자,신용금고,종합금융,자산과 사고 보험,부동산 관리 및 개발,생명과 건강보험,산업 REIT,카드,다각화된 REIT,모기지 REIT,사무실 REIT,주택 REIT,소매점 REIT,특수 REIT,리스,재보험
BNK금융지주,BNK금융지주,BNK금융지주,BNK금융지주,BNK금융지주,BNK금융지주,BNK금융지주,부국증권,한화생명,에이티넘인베스트,KB금융,SK디앤디,SK디앤디,SK디앤디,SK디앤디,SK디앤디,SK디앤디,메이슨캐피탈,DB손해보험
KB금융,KB금융,부국증권,부국증권,신한지주,부국증권,부국증권,현대차증권,KB금융,SK디앤디,신한지주,한국자산신탁,한국자산신탁,한국자산신탁,이스타코,한국자산신탁,한국자산신탁,삼성카드,코리안리
신한지주,신한지주,한화생명,한화생명,DGB금융지주,한화생명,한화생명,다우데이타,교보증권,카카오뱅크,DGB금융지주,한국토지신탁,한국토지신탁,한국토지신탁,한국자산신탁,한국토지신탁,한양증권,신영증권,
카카오뱅크,카카오뱅크,현대차증권,현대차증권,삼성카드,현대차증권,KB금융,리드코프,동양생명,한국자산신탁,삼성카드,키움증권,,,한국토지신탁,,한국토지신탁,상상인증권,
한국금융지주,한국금융지주,KB금융,스톤브릿지벤처스,코리안리,다우데이타,교보증권,에이티넘인베스트,신한지주,한국토지신탁,제주은행,한국캐피탈,,,우리종금,,,한국캐피탈,
DGB금융지주,DGB금융지주,교보증권,에이티넘인베스트,우리금융지주,리드코프,동양생명,SK디앤디,흥국화재,엠벤처투자,삼성생명,,,,,,,기업은행,
SK증권,삼성카드,한국금융지주,SK디앤디,푸른저축은행,스톤브릿지벤처스,신한지주,신한지주,DGB금융지주,다우기술,우리금융지주,,,,,,,,
유안타증권,유화증권,CNH,신한지주,다올투자증권,KB금융,한국금융지주,한국금융지주,메리츠금융지주,대성창투,하나금융지주,,,,,,,,
제주은행,SK증권,코리아에셋투자증권,한국금융지주,현대해상,SK디앤디,흥국화재,DGB금융지주,미래에셋생명,우리기술투자,,,,,,,,,
컴퍼니케이,유안타증권,DGB금융지주,CNH,한국캐피탈,교보증권,DGB금융지주,미래에셋생명,DB손해보험,,,,,,,,,,
