금속,다각화된 금속과 채광,금,철강,범용 화학제품,다각화된 화학제품,화학비료,특수 화학제품,산업용 가스,유리 용기,종이 제품,종이 포장지,목재,농약,고급 광물,알루미늄,귀금속
DSR,DSR,DSR,DSR,KG케미칼,KG케미칼,KG케미칼,KG케미칼,KPX케미칼,KPX케미칼,KPX케미칼,SUN&L,SUN&L,경농,한창제지,세아메카닉스,아이티센
태경산업,태경산업,KG케미칼,KG케미칼,KPX케미칼,KPX케미칼,KPX케미칼,KPX케미칼,국도화학,SUN&L,SK케미칼,금양,풍산홀딩스,조비,현대비앤지스틸,케이피티유,
대호특수강,대호특수강,경동인베스트,동국홀딩스,국도화학,국도화학,경농,국도화학,금양,삼양패키징,SUN&L,삼양패키징,유니드,동방아그로,KCI,삼보산업,
세아메카닉스,세아메카닉스,미원화학,현대비앤지스틸,금양,금양,국도화학,금양,동국홀딩스,신대양제지,경농,신대양제지,성창기업지주,성보화학,쎄노텍,남선알미늄,
아이티센,아이티센,삼양홀딩스,대호특수강,미원화학,미원화학,금양,미원화학,일진다이아,영풍제지,국도화학,영풍제지,무림P&P,효성오앤비,동일철강,씨큐브,
엠투엔,엠투엔,태경산업,엠투엔,일진다이아,일진다이아,미원화학,일진다이아,조비,삼륭물산,금양,한창제지,원익큐브,OCI홀딩스,제일연마,파버나인,
케이피티유,케이피티유,대호특수강,DSR제강,태경산업,태경산업,일진다이아,조비,태경산업,펌텍코리아,동국홀딩스,삼보판지,,남해화학,대호에이엘,삼화왕관,
서원,서원,레몬,화인베스틸,나노브릭,나노브릭,조비,태경산업,한창제지,아세아제지,미원화학,영보화학,,누보,쎄니트,피제이메탈,
풍산홀딩스,풍산홀딩스,세아메카닉스,세토피아,레몬,레몬,태경산업,현대비앤지스틸,대호특수강,태림포장,삼양패키징,풍산홀딩스,,동남합성,태경비케이,대호에이엘,
삼보산업,삼보산업,아이티센,신스틸,에코앤드림,에코앤드림,나노브릭,나노브릭,삼보판지,금비,삼양홀딩스,효성화학,,인바이오,동국알앤에스,삼아알미늄,
남선알미늄,남선알미늄,에코프로,원일특강,에코프로,에코프로,레몬,레몬,세아메카닉스,대영포장,신대양제지,무림SP,,,제이스코홀딩스,알루코,
