다각화된 은행,지역 은행,창업투자,카드,기타금융,손해보험,생명보험,다각화된 REIT,모기지 REIT,사무실 REIT,주택 REIT,소매점 REIT,특수 REIT,부동산 관리 및 개발
하나금융지주,하나금융지주,스틱인베스트먼트,하나금융지주,하나금융지주,하나금융지주,하나금융지주,한국캐피탈,SK디앤디,SK디앤디,SK디앤디,SK디앤디,한양증권,하나금융지주
한국캐피탈,JB금융지주,SK디앤디,삼성생명,한국캐피탈,JB금융지주,흥국화재,SK디앤디,한국토지신탁,한국토지신탁,우리종금,한국토지신탁,SK디앤디,JB금융지주
JB금융지주,카카오뱅크,한양증권,KB금융,JB금융지주,흥국화재,코리안리,한국자산신탁,한국자산신탁,한국자산신탁,한국자산신탁,한국자산신탁,한국토지신탁,SK디앤디
카카오뱅크,키움증권,LB인베스트먼트,신한지주,스틱인베스트먼트,신영증권,인카금융서비스,키움증권,,,이스타코,,한국자산신탁,LB인베스트먼트
키움증권,삼성카드,미래에셋벤처투자,우리금융지주,SK디앤디,DSC인베스트먼트,메리츠금융지주,한국토지신탁,,,한국토지신탁,,,신영증권
다올투자증권,유화증권,신영증권,DGB금융지주,카카오뱅크,키움증권,삼성생명,,,,,,,DSC인베스트먼트
BNK금융지주,제주은행,DSC인베스트먼트,삼성카드,글로벌텍스프리,다올투자증권,미래에셋생명,,,,,,,삼성카드
제주은행,BNK금융지주,키움증권,제주은행,한양증권,BNK금융지주,동양생명,,,,,,,나우IB
컴퍼니케이,다올투자증권,유화증권,,LB인베스트먼트,코리안리,에이플러스에셋,,,,,,,다올투자증권
대신증권,컴퍼니케이,NH투자증권,,미래에셋벤처투자,대신증권,현대해상,,,,,,,코리안리
기업은행,대신증권,나우IB,,신영증권,인카금융서비스,DGB금융지주,,,,,,,리드코프
우리금융지주,기업은행,다올투자증권,,DSC인베스트먼트,기업은행,DB금융투자,,,,,,,컴퍼니케이
DGB금융지주,우리금융지주,BNK금융지주,,삼성카드,메리츠금융지주,롯데손해보험,,,,,,,대신증권
DB금융투자,DGB금융지주,메이슨캐피탈,,유화증권,삼성생명,한화손해보험,,,,,,,기업은행
미래에셋증권,DB금융투자,우리벤처파트너스,,NH투자증권,미래에셋생명,신한지주,,,,,,,다우기술
상상인,미래에셋증권,컴퍼니케이,,키움증권,동양생명,한화생명,,,,,,,에이티넘인베스트
한국금융지주,상상인,대신증권,,다올투자증권,에이플러스에셋,KB금융,,,,,,,삼성생명
푸른저축은행,한국금융지주,대성창투,,BNK금융지주,우리금융지주,DB손해보험,,,,,,,미래에셋생명
신한지주,푸른저축은행,기업은행,,코리안리,현대해상,교보증권,,,,,,,현대차증권
유안타증권,신한지주,에이티넘인베스트,,메이슨캐피탈,DGB금융지주,,,,,,,,한국자산신탁
KB금융,유안타증권,메리츠금융지주,,제주은행,DB금융투자,,,,,,,,이스타코
엠벤처투자,KB금융,미래에셋생명,,리드코프,미래에셋증권,,,,,,,,에이플러스에셋
SK증권,엠벤처투자,현대차증권,,나우IB,롯데손해보험,,,,,,,,리더스 기술투자
,SK증권,한국자산신탁,,컴퍼니케이,한국금융지주,,,,,,,,DGB금융지주
,,에이플러스에셋,,대신증권,한화손해보험,,,,,,,,미래에셋증권
,,DGB금융지주,,인카금융서비스,신한지주,,,,,,,,롯데손해보험
,,리더스 기술투자,,기업은행,한화생명,,,,,,,,다우데이타
,,DB금융투자,,메리츠금융지주,교보증권,,,,,,,,상상인
,,미래에셋증권,,우리벤처파트너스,삼성증권,,,,,,,,한국금융지주
,,상상인,,현대차증권,린드먼아시아,,,,,,,,우리종금
,,한국금융지주,,동양생명,부국증권,,,,,,,,신한지주
,,TS인베스트먼트,,에이플러스에셋,큐캐피탈,,,,,,,,삼성증권
,,SBI인베스트먼트,,현대해상,KB금융,,,,,,,,상상인증권
,,우리종금,,우리금융지주,DB손해보험,,,,,,,,한국토지신탁
,,신한지주,,DGB금융지주,한화투자증권,,,,,,,,유안타증권
,,코리아에셋투자증권,,리더스 기술투자,SK증권,,,,,,,,부국증권
,,한화생명,,DB금융투자,,,,,,,,,SV인베스트먼트
,,스톤브릿지벤처스,,미래에셋증권,,,,,,,,,한화투자증권
,,케이프,,롯데손해보험,,,,,,,,,SK증권
,,린드먼아시아,,다우데이타,,,,,,,,,
,,한국토지신탁,,상상인,,,,,,,,,
,,CNH,,한국금융지주,,,,,,,,,
,,부국증권,,푸른저축은행,,,,,,,,,
,,엠벤처투자,,우리종금,,,,,,,,,
,,큐캐피탈,,SK증권,,,,,,,,,
,,우리기술투자,,한화손해보험,,,,,,,,,
,,SV인베스트먼트,,신한지주,,,,,,,,,
,,한화투자증권,,코리아에셋투자증권,,,,,,,,,
,,SK증권,,한화생명,,,,,,,,,
,,,,스톤브릿지벤처스,,,,,,,,,
,,,,케이프,,,,,,,,,
,,,,삼성증권,,,,,,,,,
,,,,상상인증권,,,,,,,,,
,,,,이베스트투자증권,,,,,,,,,
,,,,유안타증권,,,,,,,,,
,,,,CNH,,,,,,,,,
,,,,부국증권,,,,,,,,,
,,,,엠벤처투자,,,,,,,,,
,,,,큐캐피탈,,,,,,,,,
,,,,KB금융,,,,,,,,,
,,,,우리기술투자,,,,,,,,,
,,,,SV인베스트먼트,,,,,,,,,
,,,,한화투자증권,,,,,,,,,
,,,,교보증권,,,,,,,,,
