은행,증권,다각화된 금융,보험,부동산
하나금융지주,,하나금융지주,하나금융지주,한국캐피탈
한국캐피탈,,한국캐피탈,JB금융지주,SK디앤디
JB금융지주,,JB금융지주,흥국화재,우리종금
카카오뱅크,,스틱인베스트먼트,한화투자증권,한양증권
키움증권,,SK디앤디,신영증권,한국자산신탁
삼성카드,,한화투자증권,키움증권,이스타코
유화증권,,카카오뱅크,DSC인베스트먼트,키움증권
제주은행,,글로벌텍스프리,다올투자증권,한국토지신탁
BNK금융지주,,한양증권,BNK금융지주,
다올투자증권,,LB인베스트먼트,코리안리,
컴퍼니케이,,신영증권,대신증권,
대신증권,,미래에셋벤처투자,인카금융서비스,
기업은행,,키움증권,기업은행,
우리금융지주,,DSC인베스트먼트,메리츠금융지주,
DGB금융지주,,나우IB,삼성생명,
미래에셋증권,,우리벤처파트너스,미래에셋생명,
DB금융투자,,유화증권,동양생명,
상상인,,NH투자증권,에이플러스에셋,
한국금융지주,,BNK금융지주,우리금융지주,
푸른저축은행,,메이슨캐피탈,현대해상,
신한지주,,다올투자증권,DGB금융지주,
유안타증권,,삼성카드,DB금융투자,
KB금융,,제주은행,미래에셋증권,
엠벤처투자,,코리안리,롯데손해보험,
SK증권,,컴퍼니케이,한국금융지주,
,,대신증권,한화손해보험,
,,대성창투,SK증권,
,,기업은행,신한지주,
,,리드코프,한화생명,
,,에이티넘인베스트,삼성증권,
,,메리츠금융지주,부국증권,
,,삼성생명,큐캐피탈,
,,인카금융서비스,KB금융,
,,미래에셋생명,DB손해보험,
,,현대차증권,린드먼아시아,
,,동양생명,교보증권,
,,한국자산신탁,,
,,에이플러스에셋,,
,,우리금융지주,,
,,DGB금융지주,,
,,리더스 기술투자,,
,,현대해상,,
,,DB금융투자,,
,,미래에셋증권,,
,,롯데손해보험,,
,,다우데이타,,
,,상상인,,
,,한국금융지주,,
,,TS인베스트먼트,,
,,SBI인베스트먼트,,
,,푸른저축은행,,
,,우리종금,,
,,한화손해보험,,
,,신한지주,,
,,코리아에셋투자증권,,
,,한화생명,,
,,스톤브릿지벤처스,,
,,케이프,,
,,교보증권,,
,,삼성증권,,
,,상상인증권,,
,,한국토지신탁,,
,,이베스트투자증권,,
,,유안타증권,,
,,CNH,,
,,부국증권,,
,,엠벤처투자,,
,,큐캐피탈,,
,,우리기술투자,,
,,KB금융,,
,,SV인베스트먼트,,
,,린드먼아시아,,
,,SK증권,,
