범용 화학제품,다각화된 화학제품,화학비료와 농약,산업용 가스,특수 화학제품,금속 및 유리 용기,종이 포장지,알루미늄,다각화된 금속과 채광,금,귀금속과 고급 광물,철강,목재,종이 제품
켐트로닉스,동방아그로,동방아그로,삼보판지,켐트로닉스,금비,금양,케이피티유,알루코,동방아그로,한창제지,DSR제강,무림P&P,삼보판지
코오롱플라스틱,켐트로닉스,켐트로닉스,에코앤드림,코오롱플라스틱,알루코,삼보판지,알루코,승일,조선선재,KCI,휴스틸,원익큐브,동방아그로
에코앤드림,코오롱플라스틱,코오롱플라스틱,페이퍼코리아,에코앤드림,승일,영보화학,파버나인,동방아그로,해성산업,제이스코홀딩스,만호제강,성창기업지주,켐트로닉스
미원화학,에코앤드림,에코앤드림,조선선재,페이퍼코리아,동방아그로,세림B&G,조일알미늄,삼아알미늄,삼양홀딩스,제일연마,황금에스티,유니드,에코앤드림
케이피엠테크,미원화학,미원화학,케이피엠테크,해성산업,세림B&G,영풍제지,포스코스틸리온,황금에스티,미원화학,쎄노텍,아주스틸,SUN&L,페이퍼코리아
KG케미칼,케이피엠테크,케이피엠테크,피제이메탈,미원화학,삼아알미늄,페이퍼코리아,남선알미늄,조선선재,DSR,아이티센,영흥,풍산홀딩스,조선선재
애경케미칼,KG케미칼,KG케미칼,원풍,케이피엠테크,황금에스티,율촌화학,삼아알미늄,영흥,케이피엠테크,현대비앤지스틸,동양에스텍,,삼양홀딩스
롯데정밀화학,애경케미칼,애경케미칼,금강철강,KG케미칼,조선선재,영흥,씨큐브,율촌화학,피제이메탈,대호에이엘,POSCO홀딩스,,미원화학
DL,롯데정밀화학,롯데정밀화학,조일알미늄,애경케미칼,영흥,삼양패키징,대호에이엘,티플랙스,KG케미칼,쎄니트,동일산업,,케이피엠테크
레이크머티리얼즈,DL,DL,동국산업,롯데정밀화학,티플랙스,동원시스템즈,피제이메탈,서원,조일알미늄,동일철강,DSR,,원풍
리더스코스메틱,레이크머티리얼즈,레이크머티리얼즈,고려아연,DL,영풍제지,무림페이퍼,세아메카닉스,DSR,고려아연,태경비케이,대양금속,,애경케미칼
한농화성,리더스코스메틱,리더스코스메틱,DL,레이크머티리얼즈,서원,연우,삼보산업,피제이메탈,레이크머티리얼즈,동국알앤에스,세아베스틸지주,,롯데정밀화학
석경에이티,한농화성,한농화성,세토피아,동국산업,락앤락,대영포장,삼화왕관,삼화왕관,대호에이엘,,현대제철,,DL
진양산업,석경에이티,석경에이티,대호에이엘,현대비앤지스틸,육일씨엔에쓰,대림제지,,조일알미늄,세아메카닉스,,KG케미칼,,레이크머티리얼즈
유니드,진양산업,진양산업,한농화성,리더스코스메틱,DSR,효성화학,,고려아연,세아제강지주,,하이스틸,,동국산업
티케이케미칼,유니드,유니드,테이팩스,한농화성,피제이메탈,테이팩스,,레이크머티리얼즈,동일제강,,금강철강,,세토피아
한솔케미칼,티케이케미칼,티케이케미칼,세아메카닉스,석경에이티,삼양패키징,SUN&L,,아이티센,신스틸,,동국산업,,리더스코스메틱
인바이오,한솔케미칼,한솔케미칼,석경에이티,진양산업,연우,대륙제관,,한창산업,원림,,제이스코홀딩스,,한농화성
그린케미칼,인바이오,누보,에스폴리텍,유니드,대영포장,TCC스틸,,대호에이엘,케이피티유,,대한제강,,테이팩스
백광산업,그린케미칼,인바이오,진양산업,세아홀딩스,삼화왕관,포스코엠텍,,한국내화,원일특강,,현대비앤지스틸,,SUN&L
효성첨단소재,백광산업,그린케미칼,원림,티케이케미칼,KPX케미칼,한솔제지,,고려제강,삼영무역,,세토피아,,세아메카닉스
황금에스티,효성첨단소재,백광산업,동국홀딩스,한솔케미칼,금강철강,깨끗한나라,,태경산업,풍산,,KISCO홀딩스,,석경에이티
송원산업,황금에스티,효성첨단소재,한솔케미칼,인바이오,조일알미늄,세하,,세아메카닉스,금비,,화인베스틸,,에스폴리텍
와이엠티,송원산업,황금에스티,케이피티유,원일특강,고려아연,태림포장,,대륙제관,삼아알미늄,,문배철강,,진양산업
이화산업,와이엠티,송원산업,한창제지,그린케미칼,레이크머티리얼즈,펌텍코리아,,국일신동,황금에스티,,고려제강,,유니드
대정화금,이화산업,와이엠티,아세아제지,백광산업,아이티센,원림,,엠투엔,동일산업,,한국철강,,신스틸
태경산업,대정화금,이화산업,대창스틸,효성첨단소재,한창산업,풍산홀딩스,,이구산업,서원,,TCC스틸,,태림포장
오공,태경산업,대정화금,인바이오,황금에스티,대호에이엘,삼륭물산,,대창,와이엠티,,KG ETS,,원림
에코프로,오공,태경산업,원일특강,송원산업,한국내화,신대양제지,,동남합성,한국내화,,동양철관,,동국홀딩스
켐트로스,에코프로,오공,금비,동일산업,SUN&L,한창제지,,아셈스,태경산업,,포스코엠텍,,한솔케미칼
동남합성,켐트로스,경농,효성첨단소재,와이엠티,고려제강,아세아제지,,태경비케이,CS홀딩스,,동일제강,,케이피티유
태광산업,동남합성,에코프로,삼아알미늄,이화산업,태경산업,무림P&P,,동국알앤에스,엠투엔,,세아특수강,,한창제지
경인양행,태광산업,켐트로스,황금에스티,대정화금,세아메카닉스,무림SP,,삼보산업,포스코스틸리온,,엠투엔,,아세아제지
무림P&P,경인양행,동남합성,송원산업,태경산업,대륙제관,한국팩키지,,풍산홀딩스,대창,,SHD,,한국특강
SH에너지화학,무림P&P,태광산업,동일산업,오공,국일신동,삼영,,대동스틸,에코프로,,포스코스틸리온,,인바이오
엔피케이,SH에너지화학,경인양행,서원,한솔제지,TCC스틸,,,케이피티유,동남합성,,경남스틸,,원일특강
