반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
이엔에프테크놀로지,아이퀘스트,SBW생명과학,코이즈,티로보틱스,스페코,오르비텍,윌링스,한전산업,E1,삼천리,한전KPS,한전기술,스카이문스테크놀로지,에코마케팅,인스코비,사조씨푸드,제주맥주,CJ프레시웨이,하나금융지주,,하나금융지주,하나금융지주,한국캐피탈,삼보판지,삼보판지,,DSR제강,삼보판지,제룡전기,제룡전기,서희건설,패션플랫폼,동일고무벨트,인지컨트롤스,패션플랫폼,유비온,오스테오닉,부광약품
이오테크닉스,슈어소프트테크,아이엠,와이엠씨,주연테크,에스에너지,중앙에너비스,중앙에너비스,한전KPS,한국가스공사,,한전산업,,미투온,래몽래인,핑거스토리,한성기업,오뚜기,전진바이오팜,한국캐피탈,,한국캐피탈,JB금융지주,SK디앤디,동방아그로,동방아그로,,휴스틸,동방아그로,에쎈테크,SK네트웍스,삼성중공업,동일고무벨트,세이브존I&C,동일고무벨트,인지컨트롤스,YBM넷,나노엔텍,나노엔텍
싸이맥스,광무,포커스에이치엔에스,HB솔루션,SBW생명과학,HD현대에너지솔루션,유니슨,바이온,지역난방공사,인천도시가스,,한국가스공사,,키다리스튜디오,애니플러스,드림어스컴퍼니,큐로홀딩스,정다운,삼정펄프,JB금융지주,,JB금융지주,흥국화재,우리종금,켐트로닉스,조선선재,,만호제강,켐트로닉스,삼성중공업,한양이엔지,SK네트웍스,인지컨트롤스,넥센타이어,세이브존I&C,세이브존I&C,로보로보,부광약품,신신제약
가온칩스,티로보틱스,엔켐,서울바이오시스,아이엠,수산인더스트리,S-Oil,SDN,대성에너지,지에스이,,SK가스,,와이어블,네오위즈홀딩스,FSN,오뚜기,마니커에프앤지,TS트릴리온,카카오뱅크,,스틱인베스트먼트,한화투자증권,한양증권,코오롱플라스틱,페이퍼코리아,,황금에스티,에코앤드림,한양이엔지,HDC랩스,한양이엔지,동양피스톤,위닉스,동양피스톤,동양피스톤,메가스터디,신신제약,에이디엠코리아
하나머티리얼즈,모바일어플라이언스,에스코넥,소룩스,포커스에이치엔에스,,HD현대,금양그린파워,한진중공업홀딩스,SK가스,,지역난방공사,,SBS콘텐츠허브,알비더블유,디지틀조선,미래생명자원,사조오양,보라티알,키움증권,,SK디앤디,신영증권,한국자산신탁,에코앤드림,DSR,,아주스틸,페이퍼코리아,포메탈,성도이엔지,일진홀딩스,넥센타이어,이노진,THE MIDONG,넥센타이어,모나미,디알텍,아미코젠
엑사이엔씨,서울바이오시스,엠씨넥스,상보,서진시스템,,DGP,DGP,,대성에너지,,대성에너지,,삼화네트웍스,모비데이즈,티사이언티픽,정다운,삼양식품,큐로홀딩스,삼성카드,,한화투자증권,키움증권,이스타코,페이퍼코리아,피제이메탈,,영흥,조선선재,인선이엔티,리파인,HDC랩스,위닉스,지엔코,이월드,위닉스,비상교육,에이디엠코리아,셀트리온헬스케어
서진시스템,이삭엔지니어링,비츠로셀,위드텍,에스코넥,,SGC에너지,SGC에너지,,한진중공업홀딩스,삼천리,,,세종텔레콤,코퍼스코리아,메쎄이상,마니커에프앤지,푸드웰,메지온,유화증권,,카카오뱅크,DSC인베스트먼트,키움증권,조선선재,금강철강,,동양에스텍,삼양홀딩스,성도이엔지,티웨이항공,까뮤이앤씨,이노진,쿠쿠홈시스,파라다이스,이노진,윌비스,삼성제약,삼성제약
에이프로,주연테크,와이엠텍,아이씨디,엠씨넥스,,한국쉘석유,한국쉘석유,,삼천리,,,,이엠넷,위지윅스튜디오,플리토,교촌에프앤비,고려산업,모나리자,제주은행,,글로벌텍스프리,다올투자증권,한국토지신탁,해성산업,조일알미늄,,동일산업,미원화학,지투파워,현대미포조선,인선이엔티,지엔코,글로본,참좋은여행,지엔코,디지털대성,셀트리온헬스케어,바이오다인
웰킵스하이텍,한네트,액트로,엔젯,자화전자,,대성산업,에스아이리소스,경동도시가스,,,,,SK텔레콤,카카오,지니뮤직,CJ제일제당,조흥,태양,BNK금융지주,,한양증권,BNK금융지주,,미원화학,고려아연,,DSR,케이피엠테크,티웨이항공,현대리바트,성도이엔지,핸즈코퍼레이션,제로투세븐,부방,쿠쿠홈시스,웅진씽크빅,바이오다인,클리노믹스
비츠로셀,포커스에이치엔에스,코아시아,HB테크놀러지,에이프로,,극동유화,대성산업,,대성홀딩스,,,,예림당,미스터블루,,오리온,동원F&B,비비씨,다올투자증권,,LB인베스트먼트,코리안리,,케이피엠테크,레이크머티리얼즈,,대양금속,원풍,현대리바트,코오롱,리파인,글로본,THE MIDONG,롯데관광개발,핸즈코퍼레이션,정상제이엘에스,클리노믹스,에이프로젠 H&G
